CHR	Strain	mean_depth	chrlen
1	1M0	24.18	8482323
2	1M0	24.08	5260912
3	1M0	21.85	4323945
4	1M0	23	3952524
5	1M0	26.98	3469364
6	1M0	24.77	3458857
1	21SD	71.84	8482323
2	21SD	73.63	5260912
3	21SD	75.57	4323945
4	21SD	67.88	3952524
5	21SD	81.65	3469364
6	21SD	74.5	3458857
1	3M3	55.26	8482323
2	3M3	56.62	5260912
3	3M3	49.86	4323945
4	3M3	53.91	3952524
5	3M3	63.42	3469364
6	3M3	58.56	3458857
1	4M3	36.47	8482323
2	4M3	37.66	5260912
3	4M3	32.83	4323945
4	4M3	34.94	3952524
5	4M3	41.35	3469364
6	4M3	38.35	3458857
1	4SD	12.73	8482323
2	4SD	12.74	5260912
3	4SD	10.98	4323945
4	4SD	12.34	3952524
5	4SD	14.04	3469364
6	4SD	13.2	3458857
1	5SD	67.74	8482323
2	5SD	68.35	5260912
3	5SD	62	4323945
4	5SD	64.41	3952524
5	5SD	78.63	3469364
6	5SD	69.62	3458857
1	A391	40.73	8482323
2	A391	42.1	5260912
3	A391	38.43	4323945
4	A391	41.01	3952524
5	A391	47.78	3469364
6	A391	42.47	3458857
1	A432	42.76	8482323
2	A432	44.39	5260912
3	A432	40.69	4323945
4	A432	43.44	3952524
5	A432	50.99	3469364
6	A432	44.25	3458857
1	A502-1	35.74	8482323
2	A502-1	37.02	5260912
3	A502-1	33.97	4323945
4	A502-1	36.11	3952524
5	A502-1	41.27	3469364
6	A502-1	37.55	3458857
1	A502-2	48.33	8482323
2	A502-2	50.06	5260912
3	A502-2	45.18	4323945
4	A502-2	48.46	3952524
5	A502-2	57.12	3469364
6	A502-2	51.03	3458857
1	B0727_Argentina	25.05	8482323
2	B0727_Argentina	25.5	5260912
3	B0727_Argentina	25.04	4323945
4	B0727_Argentina	25.29	3952524
5	B0727_Argentina	30.21	3469364
6	B0727_Argentina	25.03	3458857
1	B11002	11.86	8482323
2	B11002	12.54	5260912
3	B11002	11.58	4323945
4	B11002	11.76	3952524
5	B11002	14.32	3469364
6	B11002	12.2	3458857
1	B11019	154.15	8482323
2	B11019	160.92	5260912
3	B11019	153.89	4323945
4	B11019	156.05	3952524
5	B11019	182.17	3469364
6	B11019	163.71	3458857
1	B11034	175.54	8482323
2	B11034	181.95	5260912
3	B11034	164.81	4323945
4	B11034	176.21	3952524
5	B11034	211	3469364
6	B11034	183.83	3458857
1	B11035	87.42	8482323
2	B11035	90.88	5260912
3	B11035	81.3	4323945
4	B11035	85.7	3952524
5	B11035	107.01	3469364
6	B11035	89.81	3458857
1	B11057	80.93	8482323
