CHR	Strain	mean_depth	chrlen
1	C735	5.86	8482323
2	C735	5.18	5260912
3	C735	9.6	4323945
4	C735	5.74	3952524
5	C735	43.16	3469364
6	C735	3.85	3458857
1	CA12	10.62	8482323
2	CA12	11.76	5260912
3	CA12	11.84	4323945
4	CA12	18.47	3952524
5	CA12	99.39	3469364
6	CA12	12.38	3458857
1	COCPO_103715	1.54	8482323
3	COCPO_103715	2.72	4323945
5	COCPO_103715	2.33	3469364
1	COCPO_103716	3.29	8482323
3	COCPO_103716	8.69	4323945
1	COCPO_103717	2.77	8482323
3	COCPO_103717	6.97	4323945
3	COCPO_103718	1.97	4323945
5	COCPO_103718	1.58	3469364
3	COCPO_103720	1.95	4323945
5	COCPO_103720	1.57	3469364
5	COCPO_114029	1.55	3469364
1	COCPO_195881	1.74	8482323
3	COCPO_195881	3.3	4323945
3	COCPO_195884	1.89	4323945
1	FMC778	2.23	8482323
3	FMC778	3.4	4323945
1	M153	1.64	8482323
3	M153	2.88	4323945
3	M158	1.54	4323945
1	NM_0317	6.04	8482323
2	NM_0317	1.66	5260912
3	NM_0317	10.58	4323945
4	NM_0317	2.55	3952524
5	NM_0317	2.22	3469364
6	NM_0317	1.58	3458857
1	NM_3894	15.2	8482323
2	NM_3894	3.55	5260912
3	NM_3894	28.74	4323945
4	NM_3894	2.79	3952524
5	NM_3894	2.77	3469364
6	NM_3894	3.08	3458857
1	NM_3957	11.65	8482323
2	NM_3957	2.43	5260912
3	NM_3957	21.48	4323945
4	NM_3957	2.63	3952524
5	NM_3957	2.39	3469364
6	NM_3957	2.19	3458857
1	NM_4297	31.39	8482323
2	NM_4297	5.54	5260912
3	NM_4297	62.75	4323945
4	NM_4297	4.16	3952524
5	NM_4297	2.6	3469364
6	NM_4297	5.29	3458857
1	NM_459	5.25	8482323
3	NM_459	8.12	4323945
4	NM_459	1.89	3952524
5	NM_459	2.4	3469364
6	NM_459	1.78	3458857
1	NM_7898	39.79	8482323
2	NM_7898	10.26	5260912
3	NM_7898	73.38	4323945
4	NM_7898	14.48	3952524
5	NM_7898	97.11	3469364
6	NM_7898	9.43	3458857
1	NM_9861	14.74	8482323
2	NM_9861	1.66	5260912
3	NM_9861	23.59	4323945
4	NM_9861	2.21	3952524
5	NM_9861	2.29	3469364
6	NM_9861	3.87	3458857
2	TX13	1.61	5260912
4	TX13	1.93	3952524
5	TX13	49.41	3469364
6	TX13	1.68	3458857
1	VFC083	1.55	8482323
3	VFC083	1.64	4323945
4	VFC083	1.6	3952524
5	VFC083	3.31	3469364
6	VFC083	1.6	3458857
5	VFC090	1.51	3469364
5	VFC091	1.73	3469364
